品类,销售额
security_and_services,324.51
fashion_childrens_clothes,665.36
cds_dvds_musicals,954.99
home_comfort_2,1170.58
flowers,1598.91
diapers_and_hygiene,2101.25
arts_and_craftmanship,2184.14
la_cuisine,2388.54
fashion_sport,2697.64
fashio_female_clothing,3425.39
party_supplies,5313.150000000001
books_imported,5409.7
dvds_blu_ray,5804.37
furniture_mattress_and_upholstery,5998.54
music,6724.860000000001
cine_photo,8189.66
tablets_printing_image,8754.61
fashion_underwear_beach,11457.74
christmas_supplies,12009.19
fashion_male_clothing,12893.45
costruction_tools_tools,17934.170000000002
food_drink,19608.1
books_technical,23379.12
furniture_bedroom,24661.01
signaling_and_security,28017.05
drinks,28100.75
art,28196.21
fashion_shoes,28248.41
costruction_tools_garden,30781.89
market_place,33694.53
food,36496.78
construction_tools_safety,43420.59
construction_tools_lights,47511.18
industry_commerce_and_business,47554.29
small_appliances_home_oven_and_coffee,50193.57
books_general_interest,54658.69
audio,56371.26
kitchen_dining_laundry_garden_furniture,57905.76
air_conditioning,61436.57
fixed_telephony,62414.05
home_confort,67073.27
agro_industry_and_commerce,78374.07
furniture_living_room,86557.3
home_appliances,94771.3
home_construction,96833.62
home_appliances_2,121055.52
construction_tools_construction,165179.69
luggage_accessories,170504.09
consoles_games,174639.6
fashion_bags_accessories,182934.76
electronics,203416.77
small_appliances,203731.5
musical_instruments,206021.32
unknown,212182.44
computers,232799.43
pet_shop,253176.96
stationery,276152.18
office_furniture,342073.02
telephony,393306.02
perfumery,450580.47
baby,478320.0
toys,556783.29
garden_tools,579525.2
auto,678606.64
cool_stuff,704086.24
housewares,772035.14
furniture_decor,899626.04
computers_accessories,1050941.58
sports_leisure,1147244.6300000001
bed_bath_table,1240386.1300000001
watches_gifts,1298292.47
health_beauty,1437665.78
