月份,实付金额
2024-01,1036395.46
2024-02,89159.67
2024-03,127983.34
2024-04,109733.99
2024-05,134477.08
2024-06,145968.42
2024-07,185557.54
2024-08,189189.71
2024-09,217968.08
2024-10,232562.03
2024-11,267881.83
2024-12,283529.58
2025-01,313629.99
2025-02,285957.03
2025-03,380503.38
2025-04,402879.71
2025-05,458936.46
2025-06,461697.0
2025-07,562986.17
2025-08,597320.95
2025-09,657281.81
2025-10,728142.39
2025-11,830826.39
2025-12,836654.58
2026-01,963029.56
2026-02,1031436.97
2026-03,1205334.06
2026-04,1378193.85
2026-05,1477987.02
2026-06,1558271.2
