省份,订单数,总营收,平均客单价
北京,5097,1578622.48,309.71600549342753
广东,4325,1381530.03,319.42890867052023
上海,4200,1306457.16,311.06122857142856
浙江,2951,967260.04,327.7736496103016
江苏,2824,835222.49,295.7586720963173
湖北,2435,814474.2,334.48632443531824
四川,2574,813489.17,316.0408585858586
福建,2253,711992.01,316.019533954727
湖南,1992,641088.34,321.8314959839357
山东,1525,444046.29,291.1778950819672
辽宁,1361,430880.04,316.5907714915503
河北,1358,411794.53,303.2360309278351
陕西,1039,388031.61,373.46641963426373
河南,1177,357558.83,303.7883007646559
重庆,867,261581.63,301.70891580161475
天津,803,249597.99,310.8318679950187
安徽,859,241536.94,281.18386495925495
江西,813,220795.44,271.5811070110701
贵州,425,170808.95,401.90341176470594
广西,555,164909.79,297.13475675675676
黑龙江,446,154950.25,347.4220852017937
吉林,373,134315.64,360.09554959785527
山西,458,130041.72,283.93388646288207
云南,403,121960.43,302.6313399503722
宁夏,263,81704.51000000001,310.663536121673
甘肃,177,65257.48,368.68632768361584
西藏,226,64884.95,287.10154867256637
内蒙古,217,58904.49,271.4492626728111
青海,216,58710.47,271.8077314814815
海南,158,42153.38,266.79354430379743
新疆,112,35905.99,320.5891964285714
