州,订单数,总营收,平均客单价
SP,41127,5878935.99,142.94589904442338
RJ,12698,2115994.28,166.63996534887383
MG,11496,1843460.37,160.35667797494781
RS,5417,877803.8,162.04611408528706
PR,4983,794653.2,159.4728476821192
SC,3600,608180.51,168.93903055555555
BA,3344,607041.45,181.53153409090908
DF,2121,351487.63,165.7178830740217
GO,1998,340626.24,170.4836036036036
ES,2018,323105.75,160.11186818632308
PE,1643,321120.88,195.44788800973828
CE,1323,274549.81,207.5206424792139
PA,969,217484.52,224.44222910216718
MT,902,186222.41,206.455
MA,736,150691.7,204.74415760869567
PB,531,140519.57,264.63195856873824
MS,708,135929.68,191.99107344632768
PI,490,107859.45,220.12132653061224
RN,482,101908.6,211.4286307053942
AL,411,96252.7,234.19148418491483
SE,345,73032.31999999999,211.687884057971
TO,278,61103.85,219.7980215827338
RO,246,57433.47,233.46939024390244
AM,147,27846.44,189.43156462585034
AC,81,19680.62,242.97061728395062
AP,68,16262.8,239.15882352941176
RR,45,9948.97,221.0882222222222
