order_id,user_id,order_date,payment_method,shipping_method,shipping_cost,order_status,shipping_province,shipping_city,total_amount,discount_amount,actual_amount
1,2533,2026-06-30,货到付款,普通快递,5.0,待发货,福建,厦门,126.21,8.53,122.67999999999999
2,1101,2026-06-30,支付宝,普通快递,12.0,已发货,湖南,长沙,46.55,0.0,58.55
3,120,2026-06-30,支付宝,普通快递,10.0,已取消,上海,静安区,136.42,0.0,146.42
4,2823,2026-06-30,支付宝,普通快递,8.0,已完成,广东,东莞,277.78,0.0,285.78
5,3774,2026-06-30,支付宝,加急快递,26.25,已完成,广东,东莞,26.61,0.0,52.86
6,3737,2026-06-30,银行卡,加急快递,26.43,已取消,安徽,安庆,90.68,0.0,117.11000000000001
7,11171,2026-06-30,货到付款,加急快递,21.93,已取消,湖南,株洲,229.66,22.58,229.01
8,3779,2026-06-30,京东白条,普通快递,0.0,已退款,重庆,沙坪坝区,85.31,4.7,80.61
9,7905,2026-06-30,货到付款,自提,0.0,已完成,北京,大兴区,84.59,0.0,84.59
10,11831,2026-06-30,支付宝,自提,0.0,待发货,湖北,黄石,53.84,0.0,53.84
11,3541,2026-06-30,花呗分期,自提,0.0,已退款,北京,朝阳区,650.67,66.02,584.65
12,11711,2026-06-30,银行卡,普通快递,15.0,已取消,广东,东莞,156.34,22.23,149.11
13,9149,2026-06-30,支付宝,普通快递,8.0,已完成,上海,闵行区,3.03,1.85,9.18
14,9757,2026-06-30,货到付款,普通快递,0.0,已完成,海南,万宁,63.7,3.96,59.74
15,6823,2026-06-30,微信支付,普通快递,15.0,待发货,广东,深圳,134.57,12.34,137.23
16,9337,2026-06-30,微信支付,加急快递,20.27,已完成,四川,绵阳,113.04,2.0,131.31
17,7310,2026-06-30,京东白条,普通快递,5.0,退货中,北京,大兴区,2.3,0.0,7.3
18,5834,2026-06-30,花呗分期,加急快递,15.67,已发货,重庆,九龙坡区,197.01,0.0,212.67999999999998
19,10257,2026-06-30,微信支付,加急快递,22.16,待发货,山东,淄博,8.66,0.0,30.82
20,9856,2026-06-30,京东白条,自提,0.0,已完成,河北,唐山,24.2,3.07,21.13
21,4772,2026-06-30,花呗分期,普通快递,0.0,已完成,云南,昆明,256.73,18.51,238.22000000000003
22,494,2026-06-30,银行卡,加急快递,26.01,已完成,北京,西城区,77.4,1.6,101.81000000000002
23,11125,2026-06-30,微信支付,普通快递,0.0,已完成,黑龙江,佳木斯,259.71,52.91,206.79999999999998
24,9395,2026-06-30,货到付款,当日达,43.44,已发货,广西,梧州,234.53,34.08,243.89
25,10303,2026-06-30,支付宝,普通快递,0.0,退货中,辽宁,大连,478.95,0.0,478.95
26,290,2026-06-30,微信支付,普通快递,15.0,已完成,浙江,嘉兴,187.63,7.61,195.01999999999998
27,10501,2026-06-30,货到付款,普通快递,12.0,已完成,四川,宜宾,62.66,0.0,74.66
28,5643,2026-06-30,微信支付,普通快递,0.0,已退款,北京,丰台区,3748.58,815.1,2933.48
29,10930,2026-06-30,支付宝,普通快递,8.0,已完成,北京,海淀区,97.34,13.26,92.08
30,8302,2026-06-30,微信支付,当日达,42.75,已完成,福建,漳州,341.22,16.31,367.66
31,5136,2026-06-30,花呗分期,普通快递,0.0,已完成,湖南,常德,255.9,0.0,255.9
32,1494,2026-06-30,花呗分期,普通快递,0.0,已取消,湖南,长沙,176.27,0.0,176.27
33,6697,2026-06-30,微信支付,普通快递,0.0,已完成,山东,威海,172.72,0.0,172.72
34,8500,2026-06-30,微信支付,普通快递,12.0,已完成,北京,海淀区,68.4,0.0,80.4
35,10858,2026-06-30,银行卡,普通快递,0.0,待发货,山西,大同,538.48,0.0,538.48
36,10634,2026-06-30,花呗分期,自提,0.0,已完成,北京,东城区,361.04,3.11,357.93
37,3125,2026-06-30,货到付款,加急快递,16.85,已完成,上海,长宁区,178.51,5.62,189.73999999999998
38,905,2026-06-30,花呗分期,普通快递,10.0,已完成,贵州,安顺,677.26,51.47,635.79
39,5655,2026-06-30,微信支付,加急快递,17.69,已取消,广东,珠海,230.1,52.45,195.33999999999997
40,3334,2026-06-30,支付宝,当日达,44.64,已完成,上海,闵行区,548.33,2.08,590.89
41,3832,2026-06-30,微信支付,当日达,37.82,已完成,山东,淄博,484.83,199.82,322.83
42,8006,2026-06-30,微信支付,普通快递,0.0,已完成,福建,福州,366.65,0.0,366.65
43,8949,2026-06-30,花呗分期,普通快递,0.0,已取消,辽宁,抚顺,218.99,15.17,203.82000000000002
44,8794,2026-06-30,微信支付,普通快递,0.0,已完成,山西,大同,98.55,0.0,98.55
45,9811,2026-06-30,支付宝,普通快递,0.0,已完成,河北,石家庄,330.36,0.0,330.36
46,519,2026-06-30,银行卡,当日达,29.5,已完成,河北,邯郸,295.4,28.4,296.5
47,11598,2026-06-30,支付宝,加急快递,28.73,退货中,上海,静安区,373.18,86.26,315.65000000000003
48,4080,2026-06-30,微信支付,加急快递,12.19,待付款,上海,静安区,103.12,2.69,112.62
49,4435,2026-06-30,支付宝,加急快递,17.25,已完成,新疆,乌鲁木齐,568.72,14.26,571.71
50,7579,2026-06-30,微信支付,加急快递,25.66,已退款,湖南,湘潭,126.72,0.48,151.9
51,2717,2026-06-30,支付宝,普通快递,0.0,已发货,天津,河东区,87.53,0.0,87.53
52,8133,2026-06-30,微信支付,普通快递,0.0,已取消,湖北,荆州,208.65,7.13,201.52
53,3174,2026-06-30,银行卡,普通快递,0.0,已取消,广东,深圳,1990.42,45.75,1944.67
54,8415,2026-06-30,支付宝,加急快递,21.58,已完成,新疆,吐鲁番,49.78,0.0,71.36
55,9820,2026-06-30,银行卡,普通快递,0.0,已发货,福建,福州,49.0,0.0,49.0
56,10814,2026-06-30,微信支付,当日达,42.23,已完成,北京,朝阳区,278.16,0.0,320.39000000000004
57,4918,2026-06-30,微信支付,加急快递,21.75,已完成,北京,通州区,1430.46,105.97,1346.24
58,9691,2026-06-30,微信支付,加急快递,17.61,待付款,天津,河西区,198.14,0.0,215.75
59,5595,2026-06-30,花呗分期,自提,0.0,已发货,河南,南阳,133.14,0.0,133.14
60,2966,2026-06-30,微信支付,自提,0.0,已完成,上海,闵行区,187.49,23.78,163.71
61,8770,2026-06-30,支付宝,普通快递,0.0,已取消,上海,浦东新区,130.47,6.42,124.05
62,3548,2026-06-30,微信支付,加急快递,22.71,已完成,湖南,岳阳,6.61,0.0,29.32
63,2068,2026-06-30,支付宝,普通快递,10.0,已发货,山东,潍坊,300.76,0.0,310.76
64,1465,2026-06-30,花呗分期,普通快递,8.0,已完成,江苏,无锡,1279.06,0.0,1287.06
65,4795,2026-06-30,银行卡,普通快递,10.0,已发货,北京,通州区,137.37,27.71,119.66
66,8941,2026-06-30,支付宝,普通快递,8.0,已发货,广东,珠海,173.51,13.07,168.44
67,9773,2026-06-30,银行卡,自提,0.0,已发货,北京,海淀区,214.54,38.63,175.91
68,10019,2026-06-30,支付宝,普通快递,0.0,退货中,北京,大兴区,87.0,0.0,87.0
69,5163,2026-06-30,支付宝,自提,0.0,已完成,北京,西城区,240.49,34.29,206.20000000000002
70,447,2026-06-30,花呗分期,普通快递,0.0,已完成,江苏,徐州,94.17,4.62,89.55
71,2151,2026-06-30,支付宝,普通快递,5.0,已完成,北京,东城区,471.62,1.85,474.77
72,2362,2026-06-30,微信支付,加急快递,13.45,已取消,黑龙江,齐齐哈尔,311.88,75.44,249.89
73,6066,2026-06-30,支付宝,普通快递,8.0,待付款,山东,潍坊,267.74,24.62,251.12
74,10995,2026-06-30,微信支付,自提,0.0,待发货,河北,石家庄,259.68,0.0,259.68
75,1576,2026-06-30,货到付款,普通快递,12.0,已完成,贵州,安顺,1082.16,0.62,1093.5400000000002
76,401,2026-06-30,支付宝,当日达,27.82,已完成,上海,徐汇区,74.12,4.31,97.63
77,6,2026-06-30,京东白条,普通快递,8.0,已退款,辽宁,大连,127.02,9.48,125.53999999999999
78,10818,2026-06-30,支付宝,普通快递,8.0,已完成,四川,南充,263.69,5.76,265.93
79,9874,2026-06-30,花呗分期,普通快递,0.0,待付款,上海,长宁区,18.61,0.0,18.61
80,11569,2026-06-30,货到付款,普通快递,8.0,待发货,江苏,无锡,151.4,5.7,153.70000000000002
81,8397,2026-06-30,支付宝,普通快递,8.0,已完成,福建,厦门,764.31,0.0,772.31
82,7317,2026-06-30,支付宝,普通快递,0.0,已完成,四川,德阳,94.08,0.0,94.08
83,1489,2026-06-30,微信支付,普通快递,0.0,已完成,上海,闵行区,11.19,0.0,11.19
84,6906,2026-06-30,支付宝,自提,0.0,已完成,天津,和平区,302.64,56.88,245.76
85,9494,2026-06-30,微信支付,普通快递,0.0,退货中,福建,龙岩,29.79,0.0,29.79
86,10440,2026-06-30,银行卡,普通快递,12.0,已完成,上海,静安区,54.99,8.1,58.89
87,10448,2026-06-30,支付宝,加急快递,20.56,已完成,广东,深圳,57.7,0.0,78.26
88,3669,2026-06-30,银行卡,自提,0.0,已发货,上海,黄浦区,481.93,17.26,464.67
89,2295,2026-06-30,支付宝,当日达,44.48,已完成,广西,桂林,29.49,0.0,73.97
90,1799,2026-06-30,微信支付,普通快递,5.0,已取消,重庆,渝中区,616.72,0.0,621.72
91,7717,2026-06-30,银行卡,普通快递,12.0,待发货,陕西,咸阳,22.02,3.51,30.509999999999998
92,843,2026-06-30,微信支付,普通快递,0.0,已完成,四川,泸州,396.89,0.81,396.08
93,10454,2026-06-30,支付宝,加急快递,21.57,已完成,北京,东城区,151.94,1.87,171.64
94,9699,2026-06-30,银行卡,自提,0.0,已发货,山东,青岛,138.8,10.45,128.35000000000002
95,81,2026-06-30,京东白条,自提,0.0,已发货,广东,佛山,549.02,0.0,549.02
96,7047,2026-06-30,微信支付,自提,0.0,已完成,云南,丽江,22.87,3.87,19.0
97,7592,2026-06-30,货到付款,普通快递,0.0,已完成,山西,大同,111.02,0.0,111.02
98,10880,2026-06-30,支付宝,普通快递,12.0,已完成,上海,闵行区,353.86,7.34,358.52000000000004
99,6433,2026-06-30,支付宝,自提,0.0,已取消,河北,唐山,307.14,2.25,304.89
100,623,2026-06-30,支付宝,普通快递,15.0,已发货,河南,新乡,122.35,0.0,137.35
101,8202,2026-06-30,微信支付,普通快递,12.0,已取消,湖南,衡阳,49.98,7.27,54.709999999999994
102,4216,2026-06-30,支付宝,普通快递,10.0,已完成,广东,东莞,284.55,0.0,294.55
103,6138,2026-06-30,京东白条,加急快递,19.29,已发货,江苏,南京,56.67,5.95,70.00999999999999
104,2886,2026-06-30,支付宝,加急快递,16.52,已退款,江苏,南京,269.57,0.0,286.09
105,10331,2026-06-30,微信支付,普通快递,0.0,已发货,天津,河西区,165.14,9.23,155.91
106,7056,2026-06-30,银行卡,普通快递,15.0,已完成,北京,东城区,54.69,0.0,69.69
107,8932,2026-06-30,微信支付,自提,0.0,已发货,江苏,南通,199.87,57.36,142.51
108,1820,2026-06-30,支付宝,当日达,41.87,已完成,四川,德阳,60.76,12.25,90.38
109,6782,2026-06-30,花呗分期,加急快递,22.91,已取消,上海,徐汇区,818.61,11.37,830.15
110,3642,2026-06-30,微信支付,自提,0.0,退货中,广东,深圳,161.78,0.0,161.78
111,309,2026-06-30,京东白条,加急快递,27.83,已完成,四川,绵阳,232.76,8.9,251.69
112,8734,2026-06-30,京东白条,普通快递,0.0,已完成,江西,上饶,61.51,0.0,61.51
113,11756,2026-06-30,支付宝,加急快递,13.58,退货中,湖北,黄石,101.48,5.65,109.41
114,8725,2026-06-30,花呗分期,普通快递,8.0,已发货,湖南,岳阳,205.58,12.32,201.26000000000002
115,1018,2026-06-30,微信支付,加急快递,21.62,已完成,广东,广州,22.46,0.0,44.08
116,7551,2026-06-30,微信支付,普通快递,0.0,待付款,浙江,绍兴,278.12,33.02,245.1
117,9948,2026-06-30,花呗分期,加急快递,15.65,待付款,江苏,常州,368.81,7.64,376.82
118,1952,2026-06-30,微信支付,普通快递,8.0,已发货,山东,威海,896.56,1.81,902.75
119,11776,2026-06-30,微信支付,当日达,38.72,待发货,四川,宜宾,479.77,25.57,492.91999999999996
120,7479,2026-06-30,支付宝,自提,0.0,已完成,湖北,武汉,258.75,0.0,258.75
121,11791,2026-06-30,微信支付,普通快递,0.0,已发货,四川,绵阳,117.8,0.0,117.8
122,7554,2026-06-30,微信支付,普通快递,0.0,已发货,重庆,南岸区,21.66,0.13,21.53
123,8021,2026-06-30,支付宝,当日达,37.95,已完成,河北,沧州,34.12,0.0,72.07
124,9112,2026-06-30,微信支付,普通快递,10.0,已完成,上海,徐汇区,87.41,0.0,97.41
125,9653,2026-06-30,花呗分期,加急快递,24.02,已完成,四川,德阳,538.8,43.22,519.5999999999999
126,10553,2026-06-30,银行卡,普通快递,5.0,已退款,辽宁,抚顺,295.76,13.58,287.18
127,9015,2026-06-30,银行卡,加急快递,18.61,待发货,江苏,苏州,139.56,5.26,152.91000000000003
128,5530,2026-06-30,支付宝,自提,0.0,已完成,贵州,安顺,361.99,18.95,343.04
